Date,Close/Last,Volume,Open,High,Low
03/16/2021,$124.12,2523628,$124.32,$124.94,$123.63
03/15/2021,$124,2758169,$124.2,$124.8899,$123.44
03/12/2021,$124.13,3340592,$123.97,$125.01,$123.12
03/11/2021,$124.11,4352168,$122.67,$126.25,$122.67
03/10/2021,$123.86,3938206,$123.12,$124.35,$121.84
03/09/2021,$122.5,5017925,$122.4,$124.2182,$122.2
03/08/2021,$121.5,5790916,$120.2,$123.36,$119.75
03/05/2021,$119.69,6138540,$116.98,$120.45,$115.52
03/04/2021,$115.55,5181374,$116.24,$118.09,$113.93
03/03/2021,$115.8,3602190,$115.2,$116.34,$114.55
03/02/2021,$115.68,3232445,$116.05,$116.87,$115.09
03/01/2021,$116.68,3493671,$117,$117.67,$116.11
02/26/2021,$115.37,4169755,$117.11,$117.68,$114.28
02/25/2021,$116.29,6158757,$118.09,$119.16,$116.17
02/24/2021,$119.07,6884280,$114.5,$120.5,$114.43
02/23/2021,$115.6,5073599,$113.22,$116.2,$112.23
02/22/2021,$113.36,4778909,$110.945,$114.5,$109.87
02/19/2021,$111.36,5864825,$113.46,$113.845,$110.25
02/18/2021,$113.05,6335855,$111.6,$113.56,$111.26
02/17/2021,$111.07,3774156,$109.77,$111.88,$109.58
02/16/2021,$110.2,3768711,$110.99,$110.99,$108.6
02/12/2021,$109.99,3605870,$108.79,$110.71,$108.19
02/11/2021,$108.48,6702251,$110.69,$110.69,$107.66
02/10/2021,$109.42,7297114,$113.95,$114.35,$108.59
02/09/2021,$113.45,3774672,$112.65,$114.06,$111.22
02/08/2021,$113.4,3876415,$113.42,$114.37,$112.5625
02/05/2021,$112.22,2656229,$112.75,$113.74,$111.98
02/04/2021,$112.24,3515299,$111.72,$113.08,$110.2
02/03/2021,$110.2,4551469,$110.12,$111.11,$109.55
02/02/2021,$110.02,4617508,$107.93,$111.1,$107.24
02/01/2021,$106.5,5445938,$103.862,$107.55,$103.0901
01/29/2021,$102.69,5523525,$104.82,$104.95,$102.31
01/28/2021,$105.25,6837476,$104.36,$106.29,$103.9201
01/27/2021,$103.22,9201213,$104.06,$104.79,$100.36
01/26/2021,$106.21,5365214,$107.05,$107.99,$105.94
01/25/2021,$106.71,7769126,$106.75,$106.76,$103.78
01/22/2021,$107.28,3858083,$107.755,$108.65,$106.85
01/21/2021,$108.95,3715831,$109.36,$109.915,$108.46
01/20/2021,$109.14,5003516,$107.68,$109.97,$107.6
01/19/2021,$107.67,3855396,$109.375,$109.44,$107.26
01/15/2021,$108.2,7128866,$106.555,$109.01,$106.17
01/14/2021,$107.98,6471870,$110.83,$111.01,$107.87
01/13/2021,$110.24,6099120,$112.025,$112.33,$109.18
01/12/2021,$111.2,6062899,$114.04,$115.44,$109.52
01/11/2021,$115.05,2729322,$116.25,$117.1,$114.3
01/08/2021,$116.79,3859860,$114.48,$117.27,$114.48
01/07/2021,$114.43,4053555,$114.98,$115.599,$114
01/06/2021,$114.18,3166462,$111.9,$115.99,$111.5304
01/05/2021,$112.36,4036093,$113.31,$114.11,$112.04
01/04/2021,$111.92,4326396,$113.75,$114,$109.57
12/31/2020,$113.86,2052236,$112.56,$113.96,$112.32
12/30/2020,$112.88,2421868,$112.71,$113.6,$112.49
12/29/2020,$111.87,4950317,$113.48,$113.95,$111.69
12/28/2020,$112.67,2534816,$113.34,$113.44,$111.78
